program,memmap_bytes,sections_csv_excluded_bytes
nco-git-ncra,8948977,234631
evolution-data-server-git-libedataserver-1.2.so.26.0.0,5183187,197523
hashclash-git-md5_birthdaysearch,5405896,526031
vtk-libvtkIOGeometry.so.1,10988036,613428
hevea-hevea,6769761,533309
evolution-data-server-git-libcamel-1.2.so.62.0.0,10676232,340395
iempluginsuite-CoordinateConverter,34050350,2735092
sagemath-element.cpython-39-x86_64-linux-gnu.so,9398603,253991
netgen-git-libgeom2d.so,8989444,723084
iverilog-git-vhdlpp,5644770,437074
mmdvmhost-git-MMDVMHost,7508800,498461
libindi-indi_lx200generic,6983781,209017
annepro2-tools-git-annepro2_tools,3493207,68857
lxc-git-lxc-info,8827294,337286
neovim-nvim,46776073,2102241
openocd-zephyr-git-openocd-zephyr,25201542,1256333
iempluginsuite-AllRADecoder,38223842,2948410
msync-git-msync,12039528,829543
mumble-mumble,31621815,1596648
abuse-abuse.elf,9180116,409271
codelite-git-Subversion.so,6927429,166777
supercell-git-supercell,8495294,647158
argyllcms-mppprof,11990487,313494
lxc-git-lxc-top,8858511,339314
bluez-git-bluetoothd,12250271,858716
mygui-SkinEditor,6112414,329176
srt-git-libsrt.so.1.4.3,7765613,190101
funtools-git-funcalc,10074184,243135
cryfa-git-cryfa,18501162,1312153
oscar-git-oscar,26499825,927643
gpredict-git-gpredict,5555986,167944
raxml-standard-git-raxmlHPC-PTHREADS-SSE3,14239626,226665
higan-icarus,8038609,561043
freecad-TechDraw.so,18356896,564394
lynx-git-lynx,14654218,483117
infra-arcana-git-ia,27995911,2199392
shotcut-shotcut,31943211,1556995
g2o-git-libg2o_solver_csparse.so,6066487,273800
gegl-git-libgegl-0.4.so.0.430.1,11561195,228480
codelite-git-liblibcodelite.so,36279297,911116
dtools-dtools-rdmd,7679563,455900
argyllcms-cctiff,27256363,361926
owncloud-client-git-owncloud,17662070,1023110
carla-git-carla-bridge-lv2.so,46834346,2969770
lxc-git-lxc-copy,8868830,339400
uavs3e-git-libuavs3e.so,28722995,158067
libsepol-libsepol.so.1,9763638,435003
hm-git-MCTSExtractorHighBitDepthStatic,8764952,427390
pegasus-frontend-git-pegasus-fe,11733275,980153
tic-80-lovebyte-git-tic80showdown,28344275,1528156
allegro-git-liballegro.so.5.2.8,8804328,146280
knowthelist-git-knowthelist,9192095,357145
precomp-git-precomp,21602608,823259
fcitx5-libFcitx5Utils.so.5.0.8,6704897,505255
synergy-synergyc,6607973,570931
qtel-git-devcal,8316401,632569
apitest-git-libSDL2-2.0.so,13302975,194381
nethack-git-nethack,12692726,670419
oclgrind-git-liboclgrind.so,7765760,235236
i2pd-git-libi2pd.so,25795368,871155
intel-compute-runtime-libigdrcl.so,13882066,1244748
uncrustify-uncrustify,16767911,946587
gfxreconstruct-git-gfxrecon-info,11070242,518746
virtualgl-libvglfaker-nodl.so,7730941,467803
iempluginsuite-RoomEncoder,20316526,1166884
vtk-libvtkRenderingVolume.so.1,32781293,663542
flucoma-cli-git-fluid-onsetslice,6466189,462810
python-jsbsim-git-libJSBSim.so.1.2.0.dev1,22738974,503982
osquery-osqueryd,41817945,2041915
nextcloud-client-git-nextcloud,22153580,1342526
hepmc-pyHepMC3.so,20112173,1724612
nzbget-nzbget,17544720,1324487
synergy-synergys,8944080,766156
vtk-libvtkCommonDataModel.so.1,28932194,1904624
funtools-git-funcen,9395601,236700
gitlab-gitaly-grpc_c.so,34787038,4032857
lxc-git-lxc-cgroup,8766398,336356
libcineform-libcineform.so,19737424,108043
qcad-git-libqtscript_core.so.1.0.0,16175535,625143
unison-git-unison-fsmonitor,3388262,297840
libdxfrw-git-dwg2dxf,12322703,685898
s3fs-fuse-git-s3fs,9902199,464101
libclsp-libclsp.so.0.1.3,6054921,552919
saba-git-saba_viewer,28323372,1910485
kdsoap-git-kdwsdl2cpp,10325623,648196
barrier-headless-git-barrierc,6696964,587366
quteqoin-git-quteqoin,9153115,487409
m64p-git-mupen64plus-video-parallel.so,9183683,315882
argyllcms-targen,13711589,346980
librtmfp-git-librtmfp.so,22176054,739781
funtools-git-funimage,9928975,236848
photivo-git-photivo,44649974,2436776
lzbench-git-lzbench,50789162,827361
qgit-git-qgit,9933286,498020
psgplay-git-psgplay,4795000,422951
opn2bankeditor-git-opn2_bank_editor,12703780,538238
anno-git-anno,4367443,209640
barrier-headless-git-barriers,9117729,785468
tmux-tmux,10310725,536097
capnproto-git-libkj.so.0.9-dev,5746167,204384
cmake-git-cpack,68059154,3103903
qt5-3d-git-libQt53DRender.so.5.15.3,23479097,1756333
mve-git-umve,15230157,815295
opencolorio-git-PyOpenColorIO.so,31783936,3846067
q2vkpt-git-q2vkpt,7641807,338518
photoflare-git-photoflare,10442837,334345
sagemath-strongly_regular_db.cpython-39-x86_64-linux-gnu.so,11489919,120563
pocl-cuda-git-libpocl.so.2.8.0,9879616,533217
postgis-git-postgis_raster-3.so,8859306,365855
glslang-minimal-git-libSPIRV.so,28006360,529553
iempluginsuite-SceneRotator,33936788,2730739
kdevelop-git-kdevlldb.so,6540288,303058
tsmuxer-git-tsmuxer,16775741,999061
triton-git-triton.so,33323139,582338
nulloy-git-nulloy,8159359,398606
ukui-panel-ukui-panel,8553711,514191
lua-format-ext-git-lua-format,17588742,1451741
hydrogen-libhydrogen-core-1.0.2.so,11151303,252699
huggle-git-libhuggle_core.so,13798274,305934
dcmtk-git-libdcmiod.so.16.3.6.6,5723147,180314
awesomebump-git-AwesomeBump,18215112,935685
alsa-lib-minimal-git-libasound.so.2.0.0,8177773,495218
ugene-git-libU2Lang.so,19969977,449223
unarchiver-lsar,16047418,360563
gr-osmosdr-git-libgnuradio-osmosdr.so.0.2.0.0,6002787,416806
sagemath-polynomial_element.cpython-39-x86_64-linux-gnu.so,22095753,223801
cmake-git-cmake,66041078,2987183
hashclash-git-md5_diffpathforward,6821904,615213
lua-format-git-lua-format,20554034,1545177
vtk-libvtkFiltersStatistics.so.1,9953464,906930
frr-git-libfrr.so.0.0.0,9575210,640517
noson-app-git-libNosonApp.so,15922400,422703
magic-git-tclmagic.so,16955987,487970
lucene++-liblucene++-contrib.so.3.0.7,11694039,815050
mgba-libmgba.so.0.9.2,9350843,341934
simplescreenrecorder-simplescreenrecorder,7043592,259749
assimp-git-libassimp.so.5.0.1,38208544,1121097
libretro-fuse-git-fuse_libretro.so,11534663,654121
capnproto-libcapnpc.so.0.8.0,8625167,343301
quassel-client-lighter-git-libquassel-common.so.0.13.90,10962383,633000
mygui-libEditorFramework.so,11558230,739315
chamfer-git-chamfer,3561246,267616
mve-git-scene2pset,6969853,420097
ospray-ospBenchmark,5707438,439542
guile4emacs-git-libguile-2.2.so.0.0.0,4791951,189204
swfmill-git-swfmill,9983163,964998
bsnes-plus-git-bsnes-compatibility,22754890,1408572
vifm-vifm,10437257,806671
iverilog-git-ivl,24838071,1662234
timew-timew,10172524,624208
iempluginsuite-DistanceCompensator,34021487,2737724
mldonkey-ed2kad-daemon-git-ed2k_hash,9843572,808817
iempluginsuite-MultiBandCompressor.so,31557898,895030
abletonlink-LinkCoreTest,8067008,426385
freeverb3-libfreeverb3.so.3.2.1,7781458,219257
capnproto-libkj-async.so.0.8.0,5626523,296615
bcc-libbcc.so.0.21.0,14025633,370284
dunelegacy-git-dunelegacy,42180064,3216681
ugene-git-libpcr.so,5675002,129456
nextcloud-client-git-libnextcloudsync.so.3.2.82,16365076,409397
lemonplus-git-lemon,7705998,320504
gpupad-git-gpupad,17587118,1097723
iempluginsuite-DirectivityShaper.so,31476749,891660
tor-tor,34117444,2069157
neochat-neochat,9883272,211668
gitqlient-git-gitqlient,18674495,725695
argyllcms-colverify,11699049,310040
virtualgl-libvglfaker.so,7730916,467803
bluespec-git-libyices.so.2.6,13824178,1483719
qt6-base-git-libQt6XcbQpa.so.6.2.0,7145382,465110
gparted-git-gpartedbin,11514458,699484
lxc-git-lxc-destroy,8812451,338076
efl-libevas.so.1.25.1,25256023,744186
hostapd-hostapd,15354241,695676
codelite-git-codelitephp.so,11689119,288011
libime-libIMETable.so.1.0.7,6065263,395066
freshplayerplugin-git-libfreshwrapper-flashplayer.so,11586332,680951
postgis-git-postgis-3.so,14696588,751475
vtk-libvtkCommonDataModelPython39D.so.1,15566350,2331594
bsnes-plus-git-bsnes-accuracy,22519634,1404941
clementine-git-clementine-tagreader,7015032,686679
trojita-git-trojita,33121292,2126748
apitrace-glxtrace.so,20115837,3259933
keyleds-git-keyledsd,7693481,622870
freecad-libFreeCADBase.so,13039446,471843
vtk-libXdmfCore.so.3.0.0,8136337,473434
bear-git-wrapper,64569941,4139495
fio-git-fio,8247836,281904
ospray-ospTestSuite,14095298,1175648
gfxreconstruct-git-gfxrecon-extract,11056307,517890
hashclash-git-sha1_diffpathhelper,7406035,711456
libjamiclient-libringclient.so.1.0.0,14513702,423619
ugene-git-libdna_export.so,7755427,141900
g2o-git-libg2o_types_slam3d.so,7153507,368349
carla-git-libcarla_host-plugin.so,52917684,3371886
alpine-git-rpload,9495530,334053
basket-git-libLibBasket.so.5.15.2,13460693,579383
nethack-nethack,12679470,668415
tikzit-git-tikzit,6244972,393345
ugene-git-libquery_designer.so,5740620,138859
lua-language-server-git-bee.so,10459859,567697
mangonel-git-mangonel,8453692,736753
srt-git-srt-live-transmit,10833672,686797
libretro-nestopia-git-nestopia_libretro.so,12871605,1032893
merkaartor-merkaartor,26851621,1159865
stgl-git-st,3666904,313371
android-file-transfer-linux-git-aft-mtp-cli,7815084,562745
liblomse-liblomse.so.0.28.0,34682603,1093726
nootka-git-libNootkaCore.so,9209504,245239
adios2-libadios2_core.so.2.7.1,40279296,839255
codelite-git-git.so,7790800,203096
iempluginsuite-MatrixMultiplier.so,28403264,836153
arenatracker-git-ArenaTracker,22232969,1170208
hugin-cpfind,8039311,459480
hypseus-singe-git-hypseus.bin,14257762,651241
rocksndiamonds-rocksndiamonds,9587115,333613
argyllcms-dispcal,25554358,872628
dtools-dtools-dustmite,9327689,576280
med-libmedC.so.11.0.1,16958610,62338
icu-git-libicui18n.so.70.0.1,26713458,1490408
libvpx-git-libvpx.so.6.4.0,32949307,617103
adlplug-OPNplug,42755214,3272721
